threads, checkpoint(s), execution(s), latency(%)
1 , 0.11714577674865723 , 0.19349122047424316 , 60.54320007984613
1 , 0.11403203010559082 , 0.18807196617126465 , 60.63212525876899
1 , 0.12199091911315918 , 0.20218157768249512 , 60.33730694531086
1 , 0.11330556869506836 , 0.1868739128112793 , 60.63209518681919
1 , 0.11483645439147949 , 0.18909788131713867 , 60.72857802086406
1 , 0.11902475357055664 , 0.1960582733154297 , 60.708865562160106
4 , 0.10911250114440918 , 0.31675004959106445 , 34.447508780275584
4 , 0.13103526830673218 , 0.2734717130661011 , 47.915474268835816
4 , 0.12044233083724976 , 0.24978303909301758 , 48.21877869473668
4 , 0.12957173585891724 , 0.2702515721321106 , 47.94485924232737
4 , 0.10415983200073242 , 0.30688124895095825 , 33.94141295917949
4 , 0.11577445268630981 , 0.3401462435722351 , 34.03666948381965
8 , 0.12692412734031677 , 0.3198687732219696 , 39.68006193972523
8 , 0.1613292098045349 , 0.33546337485313416 , 48.09145256920069
8 , 0.38611310720443726 , 0.6614754796028137 , 58.37149208256076
8 , 0.13676369190216064 , 0.28632864356040955 , 47.7645862466101
8 , 0.12799721956253052 , 0.39738696813583374 , 32.2097174356203
8 , 0.13566899299621582 , 0.2835218906402588 , 47.851329112487036
12 , 0.1320496400197347 , 0.39373721679051715 , 33.53750531791614
12 , 0.141422172387441 , 0.3146176338195801 , 44.95049138553392
12 , 0.14639159043629965 , 0.4085613290468852 , 35.83099525787479
12 , 0.1440637707710266 , 0.3063836296399434 , 47.02071417468609
12 , 0.16787846883138022 , 0.5194416046142578 , 32.3190263044194
12 , 0.1390403906504313 , 0.3699833154678345 , 37.58017857497663
16 , 0.16505473852157593 , 0.39952993392944336 , 41.312233328360435
16 , 0.1757066696882248 , 0.3927912712097168 , 44.732834603753844
16 , 0.14804884791374207 , 0.38322634994983673 , 38.632220340047404
16 , 0.14507563412189484 , 0.4198329448699951 , 34.55556213360501
16 , 0.20653054118156433 , 0.45205622911453247 , 45.68691412263185
16 , 0.18319420516490936 , 0.4041037857532501 , 45.333454331152836
20 , 0.18720176219940185 , 0.457681941986084 , 40.90215169666751
20 , 0.21509321928024291 , 0.4462493181228638 , 48.20023483397733
20 , 0.19805479049682617 , 0.4309302806854248 , 45.9598221275623
20 , 0.2011799097061157 , 0.45646893978118896 , 44.073077524738586
20 , 0.21647993326187134 , 0.46096770763397216 , 46.962060395294664
20 , 0.16819943189620973 , 0.43996641635894773 , 38.230061577923664
24 , 0.1945783495903015 , 0.49660395582516986 , 39.18179613913569
24 , 0.22467432419459024 , 0.5156259040037791 , 43.573125874789945
24 , 0.20726036032040915 , 0.4535207649072011 , 45.70030224808307
24 , 0.2184942662715912 , 0.4974488317966461 , 43.92296298745963
24 , 0.18483564257621765 , 0.4979993999004364 , 37.11563560381224
24 , 0.19437320033709207 , 0.49330418308575946 , 39.40230125786322
