threads, checkpoint(s), execution(s), latency(%)
1 , 7.161930084228516 , 9.532199621200562 , 75.13407575204016
1 , 7.417352676391602 , 9.774583578109741 , 75.8840785095216
1 , 8.137377500534058 , 10.180866003036499 , 79.92814656540062
1 , 7.456891775131226 , 10.020432233810425 , 74.4168674677582
1 , 7.440058946609497 , 10.015075206756592 , 74.28859786884196
1 , 8.004103183746338 , 9.985569953918457 , 80.1566983225172
4 , 7.410328209400177 , 16.853231370449066 , 43.969776753873184
4 , 7.9229496717453 , 12.81294447183609 , 61.835510870749474
4 , 7.389630317687988 , 12.290959417819977 , 60.12248569443794
4 , 7.150043845176697 , 16.6379172205925 , 42.974392469793
4 , 7.47708797454834 , 12.54091101884842 , 59.62156946421688
4 , 7.771396160125732 , 13.37323409318924 , 58.11156901892245
8 , 7.719332665205002 , 15.73279294371605 , 49.065240309338954
8 , 8.257935583591461 , 16.9768648147583 , 48.64228863042301
8 , 8.186651229858398 , 12.730495631694794 , 64.30740378619902
8 , 8.427424401044846 , 12.212003350257874 , 69.00935218681289
8 , 7.96465939283371 , 13.9228156208992 , 57.205809584076896
8 , 7.767751753330231 , 20.4107463657856 , 38.05716662253597
12 , 8.00446746746699 , 18.976357102394104 , 42.18126495130684
12 , 8.28357438246409 , 17.83261760075887 , 46.45181413025748
12 , 8.30239349603653 , 15.958091894785563 , 52.02622939368713
12 , 8.237809240818024 , 14.17211776971817 , 58.126875423092415
12 , 8.193745970726013 , 17.761580288410187 , 46.13185222078808
12 , 8.356533507506052 , 16.940024316310883 , 49.33011518442672
16 , 8.354973167181015 , 20.851912945508957 , 40.06813758054027
16 , 7.982962250709534 , 16.248207211494446 , 49.13134198006878
16 , 8.35332415997982 , 19.010019168257713 , 43.941692462509025
16 , 8.262472540140152 , 19.394869297742844 , 42.60133137943719
16 , 8.053520515561104 , 14.324440732598305 , 56.22223349518707
16 , 7.830192670226097 , 18.267371341586113 , 42.86436468502983
20 , 7.7000656723976135 , 15.614243805408478 , 49.314368139496175
20 , 7.708976876735687 , 15.027296543121338 , 51.29982531864275
20 , 8.03493105173111 , 16.909225392341614 , 47.51803152006138
20 , 7.715089380741119 , 17.077760457992554 , 45.17623607450464
20 , 7.797751533985138 , 14.927102279663085 , 52.23888326007463
20 , 8.216664564609527 , 17.370276606082918 , 47.30301509264466
24 , 7.982466816902161 , 18.23157598574956 , 43.783745426843716
24 , 7.802752842505773 , 19.271657466888428 , 40.48822918273668
24 , 8.072406768798828 , 18.35370698571205 , 43.98243240497963
24 , 7.8355145653088885 , 17.99957384665807 , 43.531667094238934
24 , 7.970393627882004 , 19.984143992265064 , 39.88358786329289
24 , 8.022600462039312 , 19.926682204008102 , 40.26059320816401
