threads, checkpoint(s), execution(s), latency(%)
1 , 0.5173802375793457 , 0.6380293369293213 , 81.09035237617283
4 , 0.5331863760948181 , 0.6520293951034546 , 81.77336483583227
8 , 0.5774863064289093 , 0.8824163973331451 , 65.44374154585057
12 , 0.6124894221623739 , 0.9365382194519043 , 65.39929812163187
16 , 0.5978767722845078 , 1.170384868979454 , 51.083774930022905
20 , 0.5844066619873047 , 1.133936846256256 , 51.537849212392196
24 , 0.6680833200613657 , 1.1439807911713917 , 58.39987220216123
