threads, checkpoint(s), execution(s), latency(%)
1 , 2.1331400871276855 , 4.64458155632019 , 45.92749769298335
1 , 2.0757832527160645 , 3.442194700241089 , 60.30406277049576
1 , 2.1450581550598145 , 3.5662922859191895 , 60.14813097426588
1 , 2.072017192840576 , 3.435138702392578 , 60.31829781421675
1 , 2.072065830230713 , 3.432211399078369 , 60.371159853006496
1 , 2.0858700275421143 , 3.4640042781829834 , 60.21557307764762
4 , 2.954765558242798 , 6.104581534862518 , 48.40242597086292
4 , 2.2084715962409973 , 4.568400859832764 , 48.34233387132852
4 , 2.61652010679245 , 6.03641951084137 , 43.34556440441551
4 , 2.57125061750412 , 10.068254053592682 , 25.538197624111536
4 , 2.6474835872650146 , 5.172598481178284 , 51.182855133614304
4 , 2.4499232172966003 , 4.085462152957916 , 59.9668562716419
8 , 3.2431600689888 , 6.732054442167282 , 48.174893665071345
8 , 2.5439537167549133 , 6.649275749921799 , 38.25910990057575
8 , 2.392272472381592 , 6.532211393117905 , 36.62270444740967
8 , 2.37004017829895 , 7.412635535001755 , 31.97297596931412
8 , 2.510884612798691 , 5.272129088640213 , 47.62562848107913
8 , 2.6423431634902954 , 5.198448866605759 , 50.82945377157417
12 , 3.035740077495575 , 8.203487078348795 , 37.00548374736529
12 , 2.651979982852936 , 5.56765999396642 , 47.63185944771847
12 , 2.720992167790731 , 6.824222226937612 , 39.872560964530365
12 , 3.5440404613812766 , 8.096097687880198 , 43.774675133758336
12 , 2.958116273085276 , 6.931504249572754 , 42.67639702114601
12 , 2.870976467927297 , 7.764775514602661 , 36.97436535709314
16 , 3.304338499903679 , 8.222804561257362 , 40.18505456729969
16 , 3.484223634004593 , 7.479676812887192 , 46.582542550520515
16 , 3.0407240837812424 , 6.434092298150063 , 47.259565807837646
16 , 4.294692248106003 , 9.52897422015667 , 45.06982754787421
16 , 3.6446218341588974 , 10.189438968896866 , 35.76862126839426
16 , 2.7092765122652054 , 7.420295298099518 , 36.51170746478383
20 , 3.216222679615021 , 7.344640576839447 , 43.79006223608874
20 , 3.2143383264541625 , 7.643468928337097 , 42.05339691429176
20 , 3.1384914994239805 , 7.701352512836456 , 40.752471649529184
20 , 3.409700334072113 , 7.952838933467865 , 42.87400213429572
20 , 3.2745673179626467 , 9.191470324993134 , 35.626153402884356
20 , 3.2360406517982483 , 10.355626356601714 , 31.249105948432288
24 , 5.591779520114263 , 12.219311316808065 , 45.761822210246706
24 , 3.309175511201223 , 8.898685167233149 , 37.18724113744704
24 , 3.9400164087613425 , 8.928027858336767 , 44.13087045961953
24 , 3.951621025800705 , 10.736949870983759 , 36.803944074283386
24 , 5.5351384580135345 , 12.250481188297272 , 45.18302891890632
24 , 5.59558966755867 , 12.570763289928436 , 44.512727974456396
28 , 3.4998836176736012 , 9.135716361658913 , 38.309897977590815
28 , 4.822178287165506 , 10.423858497823987 , 46.26097225103497
28 , 4.608326418059213 , 10.163356593676976 , 45.34256350826295
28 , 5.476847750799997 , 14.321354014532906 , 38.2425275238797
28 , 6.434647585664477 , 14.237416846411568 , 45.19533041056026
28 , 5.999968366963523 , 14.425930695874351 , 41.591551307531546
32 , 6.585920229554176 , 15.259479857981205 , 43.159532899212984
32 , 6.118668995797634 , 16.181210659444332 , 37.81341906099226
32 , 5.167044602334499 , 11.859334625303745 , 43.56943087945087
32 , 4.619981989264488 , 12.708850130438805 , 36.352478326888345
32 , 6.1902860924601555 , 16.55219265073538 , 37.398586538232045
32 , 4.320676699280739 , 10.874371141195297 , 39.73265803769335
36 , 8.53154726823171 , 17.862990074687534 , 47.76102563210402
36 , 5.881628639168209 , 13.270736800299751 , 44.32028701703555
36 , 8.951717283990648 , 19.07390781243642 , 46.93174242015587
36 , 6.35333204931683 , 13.32165860467487 , 47.69174948746474
36 , 5.839348064528571 , 13.353878604041206 , 43.72773062922291
36 , 6.123380853070153 , 14.574943350421059 , 42.01306794714405
