threads, throughput
1, 3.6328094005584717
1, 3.9422242641448975
1, 3.5193979740142822
1, 3.6677205562591553
1, 4.21262264251709
1, 3.519166946411133
1,0
4, 4.944322884082794
4, 6.38032865524292
4, 4.735946357250214
4, 5.027738869190216
4, 5.317368686199188
4, 4.65119069814682
4,0
