threads,sum,avg,per_thread
1,4628,4628.0,[4628]
1,4894,4894.0,[4894]
1,5046,5046.0,[5046]
1,4997,4997.0,[4997]
4,9750,2437.5,[2435, 2433, 2440, 2442]
4,7404,1851.0,[1852, 1845, 1855, 1852]
4,9014,2253.5,[2257, 2254, 2246, 2257]
4,9304,2326.0,[2333, 2319, 2320, 2332]
8,11951,1493.875,[1488, 1490, 1498, 1485, 1504, 1506, 1490, 1490]
8,11897,1487.125,[1493, 1485, 1480, 1489, 1494, 1478, 1489, 1489]
8,12754,1594.25,[1602, 1605, 1578, 1591, 1603, 1597, 1599, 1579]
8,12660,1582.5,[1588, 1575, 1583, 1582, 1582, 1579, 1575, 1596]
12,10684,890.3333333333334,[892, 887, 883, 884, 893, 889, 888, 895, 894, 899, 895, 885]
12,11770,980.8333333333334,[981, 978, 978, 983, 982, 982, 976, 985, 984, 983, 979, 979]
12,11876,989.6666666666666,[987, 982, 988, 994, 999, 995, 984, 994, 984, 990, 994, 985]
12,12195,1016.25,[1023, 1019, 1018, 1016, 1015, 1012, 1016, 1023, 1016, 1011, 1016, 1010]
16,8157,509.8125,[523, 510, 517, 513, 511, 513, 503, 511, 511, 497, 495, 514, 514, 506, 511, 508]
16,9185,574.0625,[569, 568, 566, 563, 585, 580, 586, 586, 582, 582, 565, 569, 576, 565, 568, 575]
16,9384,586.5,[595, 591, 606, 590, 582, 589, 595, 588, 589, 579, 576, 585, 568, 580, 591, 580]
16,8734,545.875,[557, 553, 544, 545, 558, 538, 549, 548, 555, 534, 549, 540, 535, 562, 535, 532]
20,7255,362.75,[349, 372, 361, 364, 363, 360, 350, 364, 366, 360, 370, 347, 372, 378, 366, 364, 355, 368, 361, 365]
20,8520,426.0,[422, 433, 433, 424, 431, 419, 418, 441, 426, 392, 426, 429, 420, 431, 440, 432, 418, 427, 424, 434]
20,8247,412.35,[417, 410, 414, 425, 412, 416, 421, 414, 417, 406, 416, 409, 413, 411, 415, 403, 404, 413, 422, 389]
20,8685,434.25,[443, 437, 409, 448, 433, 428, 446, 417, 426, 433, 430, 450, 434, 432, 438, 431, 444, 432, 433, 441]
24,6415,267.2916666666667,[260, 270, 274, 263, 265, 264, 274, 268, 264, 267, 263, 259, 278, 278, 270, 268, 259, 276, 259, 268, 255, 266, 277, 270]
24,7886,328.5833333333333,[325, 335, 333, 329, 330, 329, 335, 332, 309, 335, 332, 327, 337, 331, 323, 335, 336, 325, 341, 325, 334, 333, 297, 318]
24,8078,336.5833333333333,[342, 336, 338, 337, 332, 333, 296, 334, 341, 334, 339, 331, 357, 331, 349, 346, 332, 355, 345, 342, 336, 325, 334, 333]
24,7936,330.6666666666667,[330, 332, 323, 326, 329, 346, 345, 339, 337, 323, 333, 319, 322, 316, 339, 345, 333, 332, 336, 315, 338, 312, 324, 342]
