threads,anna,non_recov,redis
1,6.2125,81.52083333333333,4.383333333333334
4,10.1625,205.25833333333333,10.120833333333334
8,15.7625,205.25833333333333,16.133333333333333
12,20.008333333333333,193.85416666666666,22.341666666666665
16,22.591666666666665,147.75,26.820833333333333
20,25.504166666666666,136.27916666666667,29.670833333333334
24,23.9625,126.3125,35.3625
